#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DiscoveryStudio
#Serial Number: SN:210384AEE5D2
#Date Time: 2025-11-18 15:33:17.923
#Sample rate: 1600Hz
#Samples: 16384
#Trigger: Source: Wavegen C1 Condition: Rising
#Channel 1: Range: 200 mV/div Offset: 1 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: DC
#Offset: 2 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.1200000000000001,-1.428751843416273,1.884622538085631
-0.1193749999999998,-1.36299852994736,1.880951285456334
-0.1187500000000004,-1.430080193183261,1.880951285456334
-0.118125,-1.371632803433177,1.884622538085631
-0.1174999999999997,-1.41912130760517,1.884622538085631
-0.1168750000000003,-1.392554312264195,1.884622538085631
-0.11625,-1.39786771133239,1.880951285456334
-0.1156249999999996,-1.419121307605131,1.884622538085631
-0.1150000000000002,-1.375949940176086,1.884622538085631
-0.1143749999999999,-1.432072717833895,1.884622538085631
-0.1137499999999996,-1.362002267622137,1.880951285456334
-0.1131250000000001,-1.431740630392133,1.880951285456334
-0.1124999999999998,-1.375285765292561,1.880951285456334
-0.1118750000000004,-1.415468345745749,1.880951285456334
-0.1112500000000001,-1.400524410866487,1.880951285456334
-0.1106249999999998,-1.393882662031244,1.880951285456334
-0.1100000000000003,-1.422774269464528,1.884622538085627
-0.109375,-1.371964890874939,1.880951285456334
-0.1087499999999997,-1.433401067600879,1.884622538085631
-0.1081250000000002,-1.362002267622074,1.884622538085631
-0.1074999999999999,-1.429416018299797,1.884622538085631
-0.1068749999999996,-1.381263339244307,1.884622538085627
-0.1062500000000002,-1.410487034119353,1.880951285456334
-0.1056249999999999,-1.406169897376444,1.884622538085631
-0.1050000000000004,-1.38956552528835,1.880951285456337
-0.1043750000000001,-1.424766794115127,1.884622538085631
-0.1037499999999998,-1.370304453666128,1.884622538085631
-0.1031250000000004,-1.429416018299744,1.884622538085631
-0.1025,-1.366651491806744,1.880951285456334
-0.1018749999999997,-1.4267593187657,1.880951285456334
-0.1012500000000003,-1.386576738312475,1.884622538085631
-0.100625,-1.40849450946878,1.884622538085631
-0.09999999999999964,-1.408494509468762,1.884622538085631
-0.09937500000000021,-1.389565525288335,1.884622538085631
-0.09874999999999989,-1.425430968998651,1.884622538085631
-0.09812499999999957,-1.373957415525562,1.880951285456334
-0.09750000000000014,-1.428419755974511,1.880951285456334
-0.09687499999999982,-1.370304453666128,1.884622538085631
-0.09625000000000039,-1.426427231323887,1.884622538085631
-0.09562500000000007,-1.389897612730097,1.884622538085631
-0.09499999999999975,-1.407830334585255,1.884622538085631
-0.09437500000000032,-1.408162422027017,1.880951285456337
-0.09375,-1.391558049938908,1.884622538085631
-0.09312499999999968,-1.424434706673319,1.884622538085631
-0.09250000000000025,-1.373957415525513,1.884622538085631
-0.09187499999999993,-1.4267593187657,1.884622538085631
-0.09124999999999961,-1.372296978316751,1.884622538085631
-0.09062500000000018,-1.4267593187657,1.884622538085631
-0.08999999999999986,-1.39022970017186,1.884622538085631
-0.08937500000000043,-1.409822859235811,1.884622538085631
-0.08875000000000011,-1.407830334585255,1.880951285456334
-0.08812499999999979,-1.392222224822433,1.884622538085631
-0.08750000000000036,-1.426759318765669,1.884622538085631
-0.08687500000000004,-1.371964890874939,1.884622538085631
-0.08624999999999972,-1.428419755974511,1.884622538085631
-0.08562500000000028,-1.370968628549653,1.880951285456334
-0.08499999999999996,-1.427755581090987,1.884622538085631
-0.08437499999999964,-1.388901350404831,1.884622538085631
-0.08375000000000021,-1.411151209002877,1.884622538085631
-0.08312499999999989,-1.408826596910542,1.884622538085631
